location,Company,Model,ModelType,Year,Kms,Fuel,Transmission,Color,No_of_owner,RTO,Insurance,Price
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Prabhadevi, Mumbai, Maharashtra",Mini,Cooper Countryman,S,2018,"17,000 km",Not Available,Not Available,Not Available,1st,MH,Comprehensive,"₹ 35,00,000"
"Millat Nagar, Bhiwandi, Maharashtra",Volkswagen,Vento,1.6 Trendline,2011,"88,000 km",Diesel,Manual,Silver,2nd,MH,Third Party,"₹ 2,75,000"
"Chembur, Mumbai, Maharashtra",Toyota,Etios,1.5 V,2012,"37,800 km",Petrol,Manual,Blue,1st,MH,Comprehensive,"₹ 3,60,111"
"Borivali West, Mumbai, Maharashtra",Toyota,Innova,2.5 V 8 STR,2013,"97,000 km",Diesel,Manual,Gold,1st,MH,No Insurance,"₹ 9,49,000"
"Borivali West, Mumbai, Maharashtra",Hyundai,Santro,GLS II - Euro II,2012,"77,000 km",Petrol,Manual,Red,1st,MH,Comprehensive,"₹ 2,49,000"
"Andheri East, Mumbai, Maharashtra",Maruti Suzuki,Ertiga,VXI,2018,"20,000 km",Petrol,Manual,Grey,1st,MH,Comprehensive,"₹ 8,10,000"
"Niwas Colony, Pune, Maharashtra",Maruti Suzuki,Vitara Brezza,ZDi Plus AMT Dual Tone,2016,"90,000 km",Diesel,Automatic,Colorless,1st,Not Available,Third Party,"₹ 10,50,000"
"Vikas Nagar, Pune, Maharashtra",Maruti Suzuki,Swift Dzire,Ldi BSIV,2017,"62,000 km",Diesel,Manual,White,1st,MH,Third Party,"₹ 6,75,000"
"Vasai East, Mumbai, Maharashtra",Hyundai,i20,1.2 Asta,2011,"53,805 km",Petrol,Manual,Blue,2nd,MH,Comprehensive,"₹ 3,34,000"
"Kapsi MIDC, Nagpur, Maharashtra",Nissan,Micra,2010-2012 XL,2011,"53,049 km",Petrol,Manual,Other,1st,MH,Third Party,"₹ 2,25,000"
"Virar West, Mumbai, Maharashtra",Maruti Suzuki,Alto,LXi BS-IV,2011,"50,000 km",Petrol,Manual,White,2nd,MH,Comprehensive,"₹ 1,75,000"
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Malad West, Mumbai, Maharashtra",Honda,Accord,Accord 2.4 Automatic,2011,"70,000 km",Petrol,Automatic,Champagne,2nd,MH,Third Party,"₹ 4,85,000"
"Dombivli, Thane, Maharashtra",Maruti Suzuki,Baleno,1.2 Alpha,2016,"57,209 km",Diesel,Manual,Red,1st,MH,Comprehensive,"₹ 6,75,000"
"Vishrant Wadi, Pune, Maharashtra",Volkswagen,Polo,2009-2013 Diesel Comfortline 1.2L,2012,"99,000 km",Diesel,Manual,Grey,2nd,MH,Comprehensive,"₹ 3,40,000"
"Bajaj Nagar, Nagpur, Maharashtra",Hyundai,Verna,2010-2011 Transform SX VGT CRDi,2010,"91,000 km",Diesel,Manual,White,3rd,MH,No Insurance,"₹ 2,40,000"
"Vithalwadi, Thane, Maharashtra",Maruti Suzuki,Swift Dzire,VXI,2014,"34,000 km",Petrol,Manual,White,1st,MH,Comprehensive,"₹ 4,10,000"
"Vithalwadi, Thane, Maharashtra",Maruti Suzuki,Ritz,VDi,2011,"72,000 km",Diesel,Manual,White,1st,MH,Comprehensive,"₹ 1,95,000"
"Dombivli, Thane, Maharashtra",Maruti Suzuki,Wagon R,VXI BS IV,2015,"39,500 km",Petrol,Manual,White,1st,MH,Comprehensive,"₹ 3,85,000"
"Borivali West, Mumbai, Maharashtra",Mercedes-Benz,S-Class,S 300 L,2011,"55,000 km",Petrol,Automatic,Black,2nd,MH,Comprehensive,"₹ 14,50,111"
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Laxmi Nagar Near Patel Colony, Nashik, Maharashtra",Maruti Suzuki,Ertiga,ZDI,2013,"92,175 km",Diesel,Manual,White,1st,MH,No Insurance,"₹ 7,11,000"
"Chembur, Mumbai, Maharashtra",Maruti Suzuki,Wagon R,2010-2012 VXI BS IV,2010,"41,000 km",Petrol,Manual,Brown,1st,MH,Comprehensive,"₹ 2,40,000"
"Vishrant Wadi, Pune, Maharashtra",Mahindra,Scorpio,2009-2014 M2DI,2014,"97,000 km",Diesel,Manual,White,2nd,MH,Comprehensive,"₹ 6,00,000"
"Vishrant Wadi, Pune, Maharashtra",Hyundai,Santro Xing,GLS,2008,"105,000 km",CNG & Hybrids,Manual,Lightblue,2nd,MH,No Insurance,"₹ 1,50,000"
"Thane Belapur Road, Thane, Maharashtra",Toyota,Innova,2.5 G (Diesel) 8 Seater BS-IV,2012,"104,000 km",Diesel,Manual,Grey,1st,MH,Not Available,"₹ 7,35,000"
"Mumbai Naka, Nashik, Maharashtra",Maruti Suzuki,Baleno,Zeta,2016,"41,000 km",Diesel,Manual,Red,1st,MH,Third Party,"₹ 6,35,000"
"Bhumkar Chowk Road, Pune, Maharashtra",Toyota,Corolla Altis,1.8 G,2011,"146,000 km",Diesel,Manual,Gold,1st,MH,No Insurance,"₹ 4,90,000"
