location,Company,Model,ModelType,Year,Kms,Fuel,Transmission,Color,No_of_owner,RTO,Insurance,Price
"Vartak Enclave, Tezpur, Assam",Maruti Suzuki,Swift,VXI,2018,"25,000 km",Petrol,Manual,White,1st,AS,Comprehensive,"₹ 5,50,000"
"Hatigaon, Guwahati, Assam",Hyundai,Accent,GLE,2008,"71,000 km",Petrol,Manual,Gold,2nd,AS,Comprehensive,"₹ 1,65,000"
"Vartak Enclave, Tezpur, Assam",Maruti Suzuki,Celerio,2014-2017 VXI,2017,"21,000 km",Petrol,Manual,Silver,1st,AS,Comprehensive,"₹ 4,30,000"
"Adabari, Guwahati, Assam",Honda,Amaze,1.2 SMT I VTEC,2014,"76,000 km",Petrol,Manual,Blue,1st,AS,Comprehensive,"₹ 3,50,000"
"Borjari Maj Gaon, Jamunamukh, Assam",Dc,TCA,Others,2021,"6,000 km",Electric,Automatic,Not Available,1st,Not Available,Not Available,"₹ 90,000"
"Chandmari, Guwahati, Assam",Tata,Nano,2009-2011 Lx,2011,"18,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 71,000"
"Takowbari, Nagaon, Assam",Maruti Suzuki,Vitara Brezza,ZDi,2016,"9,000 km",Diesel,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 6,50,000"
"Tukura Part 3, Kharijapikon, Assam",Mahindra,E Verito,D2,2015,51 km,Diesel,Automatic,Not Available,1st,Not Available,Not Available,"₹ 65,000"
"Lakhi Nagar Charali, Nagaon, Assam",Maruti Suzuki,Alto 800,LXI,2013,"43,000 km",Petrol,Automatic,Not Available,1st,Not Available,Not Available,"₹ 2,30,000"
"Milan Nagar, Dibrugarh, Assam",Hyundai,Elite i20,Asta 1.2 (O),2016,"24,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 5,95,000"
"Gossaigaon Bazar, Gossaigaon, Assam",Maruti Suzuki,Alto,2005-2010 LXi BSIII,2010,"295,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,50,000"
"Demow Pathar, Sibsagar, Assam",Maruti Suzuki,Omni,Others,1999,"72,100 km",Petrol,Manual,Not Available,3rd,Not Available,Not Available,"₹ 80,000"
"Doyapore Part 2, Durga Nagar Part V, Assam",Maruti Suzuki,Omni,MPI STD BSIII 8-STR W/ IMMOBILISER,2016,"49,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,77,007"
"Banamali Part 1, Karimganj, Assam",Maruti Suzuki,Wagon R 1.0,1.0 VXi,2016,"43,190 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 3,90,000"
"Ahom Gaon, Guwahati, Assam",Maruti Suzuki,Ritz,VXi,2011,"49,542 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,20,000"
"Jalukbari, Guwahati, Assam",Maruti Suzuki,Swift Dzire,VXI,2015,"46,500 km",Petrol,Manual,S Red,1st,As,Not Available,"₹ 4,47,000"
"Borbari, Guwahati, Assam",Maruti Suzuki,Alto K10,VXI,2016,"32,658 km",Petrol,Manual,Pink,1st,AS,Comprehensive,"₹ 3,10,000"
"Gohpur, Assam, India",Maruti Suzuki,Swift,2004-2010 VXI with ABS,2008,"100,000 km",Petrol,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 1,70,000"
"Garia Jan, Dhemaji, Assam",Tata,Indica Vista,2008-2013 Aqua 1.2 Safire,2009,"100,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,20,000"
"Moriani Grant, Mariani, Assam",Mahindra,Bolero Pik-Up,CBC 1.7T,2017,40 km,Diesel,Automatic,Not Available,1st,Not Available,Not Available,"₹ 4,60,000"
"Vartak Enclave, Tezpur, Assam",Maruti Suzuki,Alto 800,LXI,2014,"47,000 km",Petrol,Manual,Red,1st,AS,Comprehensive,"₹ 2,60,000"
"Bharalumukh, Guwahati, Assam",Hyundai,Verna,Fluidic 1.6 VTVT,2016,"50,000 km",Petrol,Manual,White,1st,AS,Comprehensive,"₹ 6,00,000"
"Polo Field, Tezpur, Assam",Maruti Suzuki,Wagon R,ZXI 1.2,2019,"9,800 km",Petrol,Manual,Gold,1st,AS,Comprehensive,"₹ 5,75,000"
"Betapara, Guwahati, Assam",Maruti Suzuki,Swift Dzire,VDI,2012,"58,595 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,53,000"
"Sankar Dev Nagar, Pub Dhaniram Pather, Assam",Ashok Leyland,Others,Others,2014,"10,477 km",Diesel,Manual,Not Available,3rd,Not Available,Not Available,"₹ 84,500"
"Bhangagarh, Guwahati, Assam",Kia,Seltos,GTX Plus,2020,"10,600 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 16,50,000"
"Udmari, Doboka, Assam",Maruti Suzuki,Alto,Std,2007,"78,500 km",Petrol,Manual,Not Available,3rd,Not Available,Not Available,"₹ 1,20,000"
"Ganakpatty, Sibsagar, Assam",Maruti Suzuki,Eeco,5 STR WITH A/C+HTR,2015,"36,588 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,80,000"
"Khuti Katia, Nagaon, Assam",Maruti Suzuki,Alto K10,Others,2021,0 km,Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 18,000"
"Morongal, Nagaon, Assam",Other Brands,Others,Not Available,2020,700 km,Electric,Automatic,Not Available,1st,Not Available,Not Available,"₹ 90,000"
